locus_tag; genomes
ECB_02301; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03267; Ara-2_50K_11335_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03097; Ara-2_50K_11335_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03077; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03035; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02942; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03942; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_03941; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_02603; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_00390; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00933; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03110; Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+5_50K_11368_annotated.gd
ECB_03118; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_04277; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_02547; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03156; Ara-3_50K_11364_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00044; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03891; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02415; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03075; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03913; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_00126; Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00631; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00184; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02153; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_00879; Ara-2_50K_11335_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_00934; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02418; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02411; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_00833; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03863; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00216; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00125; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_03124; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_01856; Ara+3_50K_11346_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03513; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02166; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03504; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03432; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_01271; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00397; Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_01022; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02922; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_00416; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-1_50K_11330_annotated.gd
